"stationNo","stationName","stationCity","date","latitude","longitude","totalRain","totalLighting"
18862,"Pozantı/Akçatekir","Adana","2021-06-01",37.3269,34.7956,120.00000000000003,184
17979,"Yumurtalık","Adana","2020-05-02",36.9681,35.5831,157.79999999999998,151
18860,"SARIÇAM","Adana","2020-05-01",36.7687,35.7903,112.2,188
18397,"Çekmeköy/Ömerli","İstanbul","2022-08-15",41.0783,29.3256,105.2,1169
18980,"Sarıyer","İstanbul","2022-07-10",41.099909,29.025127,153.79999999999998,2104
18529,"İkizce","Ordu","2022-06-13",41.0528,37.0039,175.29999999999998,373
18529,"İkizce","Ordu","2019-06-20",41.0528,37.0039,216.4,459
18905,"Çayeli","Rize","2021-07-14",41.0408,40.7669,199.3,56
18905,"Çayeli","Rize","2020-07-13",41.0408,40.7669,261.8000000000001,115
18233,"Çanakçı","Giresun","2020-07-8",40.9272,39.00768,158.19999999999996,344