"Tarih","Enlem","Boylam","YagisMiktari","YildirimAdeti"
"10.08.2021 00:00",40.911,29.1558,0.1,0
"14.06.2021 00:00",40.911,29.1558,0.2,0
"08.06.2021 00:00",40.911,29.1558,0.8,0
"09.06.2021 00:00",40.911,29.1558,0.9,0
"22.07.2021 00:00",40.911,29.1558,0.9,0
"04.06.2021 00:00",40.911,29.1558,1.5,0
"02.06.2021 00:00",40.911,29.1558,1.6,0
"24.06.2021 00:00",40.911,29.1558,1.8,0
"09.07.2021 00:00",40.911,29.1558,2.1,0
"06.07.2021 00:00",40.911,29.1558,2.6,0
"03.06.2021 00:00",40.911,29.1558,2.7,0
"19.08.2021 00:00",40.911,29.1558,4.9,0
"19.06.2021 00:00",40.911,29.1558,7.8,0
"20.06.2021 00:00",40.911,29.1558,11.4,0
"07.07.2021 00:00",40.911,29.1558,13.5,0
"17.06.2021 00:00",40.911,29.1558,13.7,0
"16.06.2021 00:00",40.911,29.1558,15.7,0
"15.06.2021 00:00",40.911,29.1558,17.2,0
"01.06.2021 00:00",40.911,29.1558,27.8,1